X,Y,num,NAME,falla
391811.32170139294,7082849.9757784745,138,CHN_CT01_V01_DJI_0319,Tipo VI - CelulaCaliente
391816.05120317684,7082855.883357021,139,CHN_CT01_V01_DJI_0319,Tipo V - ModuloCortoCircuito
391818.01798919216,7082851.861359319,140,CHN_CT01_V01_DJI_0319,Tipo VI - CelulaCaliente
391811.17105780507,7082849.490588723,141,CHN_CT01_V01_DJI_0321,Tipo VI - CelulaCaliente
391817.48511238187,7082850.401231968,142,CHN_CT01_V01_DJI_0321,Tipo VI - CelulaCaliente
391817.8458540889,7082851.242764328,143,CHN_CT01_V01_DJI_0321,Tipo VI - CelulaCaliente
391812.05166552897,7082853.351007944,144,CHN_CT01_V01_DJI_0321,Tipo V - ModuloCortoCircuito
391815.90850093146,7082855.2388844155,145,CHN_CT01_V01_DJI_0321,Tipo V - ModuloCortoCircuito
391817.88053751236,7082852.614146974,146,CHN_CT01_V01_DJI_0323,Tipo VI - CelulaCaliente
391816.01625909365,7082856.349191967,147,CHN_CT01_V01_DJI_0323,Tipo V - ModuloCortoCircuito
391812.18149980746,7082854.747393788,148,CHN_CT01_V01_DJI_0323,Tipo V - ModuloCortoCircuito
391830.2976151499,7082862.588988669,149,CHN_CT01_V01_DJI_0329,Tipo IV - BusBar
391829.82228203944,7082862.742351373,150,CHN_CT01_V01_DJI_0331,Tipo IV - BusBar
391829.8221435527,7082864.276064717,151,CHN_CT01_V01_DJI_0333,Tipo IV - BusBar
391830.04376707843,7082862.889127774,152,CHN_CT01_V01_DJI_0335,Tipo IV - BusBar
391834.53548917663,7082842.930565288,153,CHN_CT01_V01_DJI_0337,Tipo VI - CelulaCaliente
391834.28582077,7082841.46612417,154,CHN_CT01_V01_DJI_0339,Tipo VI - CelulaCaliente
391834.70732723246,7082843.794225955,155,CHN_CT01_V01_DJI_0339,Tipo VI - CelulaCaliente
391835.3339523942,7082832.019711502,156,CHN_CT01_V01_DJI_0341,Tipo VI - CelulaCaliente
391834.4490766733,7082841.705677113,157,CHN_CT01_V01_DJI_0341,Tipo VI - CelulaCaliente
391834.9738677067,7082844.020015478,158,CHN_CT01_V01_DJI_0341,Tipo VI - CelulaCaliente
391833.86314413615,7082835.012685579,159,CHN_CT01_V01_DJI_0341,Tipo IV - BusBar
391834.034837306,7082834.843822872,160,CHN_CT01_V01_DJI_0343,Tipo IV - BusBar
391824.05408166396,7082811.255377088,161,CHN_CT01_V01_DJI_0347,Tipo V - ModuloCortoCircuito
391823.9040877826,7082809.6875854805,162,CHN_CT01_V01_DJI_0349,Tipo V - ModuloCortoCircuito
391824.1113318468,7082810.732647184,163,CHN_CT01_V01_DJI_0351,Tipo V - ModuloCortoCircuito
391822.5197861636,7082788.497347239,164,CHN_CT01_V01_DJI_0355,Tipo IV - BusBar
391822.433577953,7082788.440079398,165,CHN_CT01_V01_DJI_0357,Tipo IV - BusBar
391829.89782185823,7082779.954035089,166,CHN_CT01_V01_DJI_0357,Tipo IV - BusBar
391821.9775605613,7082776.8337382525,167,CHN_CT01_V01_DJI_0359,Tipo IV - BusBar
391828.5611425579,7082776.539628442,168,CHN_CT01_V01_DJI_0359,Tipo VI - CelulaCaliente
391829.21903937723,7082776.597835108,169,CHN_CT01_V01_DJI_0359,Tipo VI - CelulaCaliente
391830.0831115771,7082780.561970495,170,CHN_CT01_V01_DJI_0359,Tipo IV - BusBar
391822.0513850739,7082776.149476655,171,CHN_CT01_V01_DJI_0361,Tipo IV - BusBar
391828.6767192036,7082776.056963548,172,CHN_CT01_V01_DJI_0361,Tipo VI - CelulaCaliente
391828.9204857706,7082766.948272156,173,CHN_CT01_V01_DJI_0361,Tipo VI - CelulaCaliente
391829.3332535017,7082775.980349429,174,CHN_CT01_V01_DJI_0361,Tipo VI - CelulaCaliente
391830.17926799133,7082779.81299079,175,CHN_CT01_V01_DJI_0361,Tipo IV - BusBar
391828.81478378765,7082774.636712545,176,CHN_CT01_V01_DJI_0363,Tipo VI - CelulaCaliente
391828.7397990018,7082760.870657614,177,CHN_CT01_V01_DJI_0363,Tipo IV - BusBar
391828.98806105414,7082765.456225006,178,CHN_CT01_V01_DJI_0363,Tipo VI - CelulaCaliente
391829.4506274513,7082774.594337316,179,CHN_CT01_V01_DJI_0363,Tipo VI - CelulaCaliente
391822.2018981667,7082774.829541623,180,CHN_CT01_V01_DJI_0363,Tipo IV - BusBar
391828.8636564507,7082761.176746532,181,CHN_CT01_V01_DJI_0365,Tipo IV - BusBar
391822.51041663723,7082756.7404391905,182,CHN_CT01_V01_DJI_0365,Tipo V - ModuloCortoCircuito
391829.1321724382,7082765.950342799,183,CHN_CT01_V01_DJI_0365,Tipo VI - CelulaCaliente
391822.43201980623,7082755.80837208,184,CHN_CT01_V01_DJI_0367,Tipo V - ModuloCortoCircuito
391828.74436433346,7082760.472105914,185,CHN_CT01_V01_DJI_0367,Tipo IV - BusBar
391828.25815023994,7082742.9678145945,186,CHN_CT01_V01_DJI_0369,Tipo IV - BusBar
391828.2283115644,7082742.502722774,187,CHN_CT01_V01_DJI_0371,Tipo IV - BusBar
391828.2894218184,7082742.1855735015,188,CHN_CT01_V01_DJI_0373,Tipo IV - BusBar
391823.3583025798,7082725.511470225,189,CHN_CT01_V01_DJI_0375,Tipo VI - CelulaCaliente
391823.1427651462,7082724.590534027,190,CHN_CT01_V01_DJI_0377,Tipo VI - CelulaCaliente
391829.5808050295,7082713.574523886,191,CHN_CT01_V01_DJI_0379,Tipo IV - BusBar
391830.1762364958,7082703.597981201,192,CHN_CT01_V01_DJI_0381,Tipo IV - BusBar
391829.6985374602,7082713.097036851,193,CHN_CT01_V01_DJI_0381,Tipo IV - BusBar
391830.29820506484,7082703.545065753,194,CHN_CT01_V01_DJI_0383,Tipo IV - BusBar
